,Well,Absorbance,Cell_Type,Dilution,GROUP ID
936,D6,-0.062666667,Diseased,62500,
937,D7,-0.060666667,Diseased,31250,
938,D8,-0.076666667,Diseased,15625,
939,D9,-0.065666667,Diseased,7812.5,
940,D10,-0.069666667,Diseased,3906.25,
941,E1,0.594333333,Diseased,2e+06,
942,E2,0.351333333,Diseased,1e+06,
943,E3,0.101333333,Diseased,5e+05,
944,E4,0.050333333,Diseased,250000,
945,E5,-0.027666667,Diseased,125000,
946,E6,-0.052666667,Diseased,62500,
947,E7,-0.064666667,Diseased,31250,
948,E8,-0.080666667,Diseased,15625,
949,E9,-0.091666667,Diseased,7812.5,
950,E10,-0.063666667,Diseased,3906.25,
951,F1,0.782333333,Diseased,2e+06,
952,F2,0.271333333,Diseased,1e+06,
953,F3,0.137333333,Diseased,5e+05,
954,F4,0.065333333,Diseased,250000,
955,F5,0.018333333,Diseased,125000,
956,F6,-0.043666667,Diseased,62500,
957,F7,-0.066666667,Diseased,31250,
958,F8,-0.059666667,Diseased,15625,
959,F9,-0.095666667,Diseased,7812.5,
960,F10,-0.073666667,Diseased,3906.25,
961,A1,0.063,Healthy,2e+06,
962,A2,-0.021,Healthy,1e+06,
963,A3,0.011,Healthy,5e+05,
964,A4,0.006,Healthy,250000,
965,A5,0.006,Healthy,125000,
966,A6,-0.014,Healthy,62500,
967,A7,-0.017,Healthy,31250,
968,A8,-0.023,Healthy,15625,
969,A9,-0.02,Healthy,7812.5,
970,A10,-0.019,Healthy,3906.25,
971,B1,0.371,Healthy,2e+06,
972,B2,0.03,Healthy,1e+06,
973,B3,0.041,Healthy,5e+05,
974,B4,0.021,Healthy,250000,
975,B5,0.007,Healthy,125000,
976,B6,-0.015,Healthy,62500,
977,B7,-0.023,Healthy,31250,
978,B8,-0.031,Healthy,15625,
979,B9,-0.022,Healthy,7812.5,
980,B10,-0.025,Healthy,3906.25,
981,C1,2.149,Healthy,2e+06,
982,C2,0.339,Healthy,1e+06,
983,C3,0.283,Healthy,5e+05,
984,C4,0.094,Healthy,250000,
985,C5,0.022,Healthy,125000,
986,C6,0.005,Healthy,62500,
987,C7,-0.015,Healthy,31250,
988,C8,-0.02,Healthy,15625,
989,C9,-0.024,Healthy,7812.5,
990,C10,-0.031,Healthy,3906.25,
991,D1,0.469,Diseased,2e+06,
992,D2,0,Diseased,1e+06,
993,D3,0.004,Diseased,5e+05,
994,D4,-0.069,Diseased,250000,
995,D5,-0.069,Diseased,125000,
996,D6,-0.093,Diseased,62500,
997,D7,-0.095,Diseased,31250,
998,D8,-0.098,Diseased,15625,
999,D9,-0.093,Diseased,7812.5,
1000,D10,-0.1,Diseased,3906.25,
1001,E1,0.441,Diseased,2e+06,
1002,E2,-0.056,Diseased,1e+06,
1003,E3,-0.063,Diseased,5e+05,
1004,E4,-0.078,Diseased,250000,
1005,E5,-0.096,Diseased,125000,
1006,E6,-0.088,Diseased,62500,
1007,E7,-0.106,Diseased,31250,
1008,E8,-0.099,Diseased,15625,
1009,E9,-0.113,Diseased,7812.5,
1010,E10,-0.115,Diseased,3906.25,
1011,F1,1.302,Diseased,2e+06,
1012,F2,0.255,Diseased,1e+06,
1013,F3,0.319,Diseased,5e+05,
1014,F4,0.11,Diseased,250000,
1015,F5,0.005,Diseased,125000,
1016,F6,-0.027,Diseased,62500,
1017,F7,-0.069,Diseased,31250,
1018,F8,-0.095,Diseased,15625,
1019,F9,-0.088,Diseased,7812.5,
1020,F10,-0.108,Diseased,3906.25,
1021,A1,0.145166667,Healthy,2e+06,
1022,A2,0.127166667,Healthy,1e+06,
1023,A3,0.127166667,Healthy,5e+05,
1024,A4,0.113166667,Healthy,250000,
1025,A5,0.087166667,Healthy,125000,
1026,A6,0.101166667,Healthy,62500,
1027,A7,0.081166667,Healthy,31250,
1028,A8,0.077166667,Healthy,15625,
1029,A9,0.084166667,Healthy,7812.5,
1030,A10,0.074166667,Healthy,3906.25,
1031,B1,0.970166667,Healthy,2e+06,
1032,B2,0.488166667,Healthy,1e+06,
1033,B3,0.286166667,Healthy,5e+05,
1034,B4,0.188166667,Healthy,250000,
1035,B5,0.108166667,Healthy,125000,
1036,B6,0.093166667,Healthy,62500,
1037,B7,0.076166667,Healthy,31250,
1038,B8,0.080166667,Healthy,15625,
1039,B9,0.060166667,Healthy,7812.5,
1040,B10,0.582166667,Healthy,3906.25,
1041,C1,0.821166667,Healthy,2e+06,
1042,C2,0.443166667,Healthy,1e+06,
1043,C3,0.266166667,Healthy,5e+05,
1044,C4,0.225166667,Healthy,250000,
1045,C5,0.145166667,Healthy,125000,
1046,C6,0.093166667,Healthy,62500,
1047,C7,0.081166667,Healthy,31250,
1048,C8,0.073166667,Healthy,15625,
1049,C9,0.063166667,Healthy,7812.5,
1050,C10,0.082166667,Healthy,3906.25,
1051,D1,0.648166667,Diseased,2e+06,
1052,D2,0.435166667,Diseased,1e+06,
1053,D3,0.193166667,Diseased,5e+05,
1054,D4,0.106166667,Diseased,250000,
1055,D5,0.070166667,Diseased,125000,
1056,D6,0.007166667,Diseased,62500,
1057,D7,0.028166667,Diseased,31250,
1058,D8,-0.003833333,Diseased,15625,
1059,D9,-0.004833333,Diseased,7812.5,
1060,D10,0.003166667,Diseased,3906.25,
1061,E1,0.717166667,Diseased,2e+06,
1062,E2,0.401166667,Diseased,1e+06,
1063,E3,0.253166667,Diseased,5e+05,
1064,E4,0.128166667,Diseased,250000,
1065,E5,0.064166667,Diseased,125000,
1066,E6,0.036166667,Diseased,62500,
1067,E7,0.029166667,Diseased,31250,
1068,E8,0.012166667,Diseased,15625,
1069,E9,0.001166667,Diseased,7812.5,
1070,E10,0.014166667,Diseased,3906.25,
1071,F1,0.745166667,Diseased,2e+06,
1072,F2,0.425166667,Diseased,1e+06,
1073,F3,0.227166667,Diseased,5e+05,
1074,F4,0.176166667,Diseased,250000,
1075,F5,0.069166667,Diseased,125000,
1076,F6,0.020166667,Diseased,62500,
1077,F7,0.013166667,Diseased,31250,
1078,F8,0.010166667,Diseased,15625,
1079,F9,-0.018833333,Diseased,7812.5,
1080,F10,0.006166667,Diseased,3906.25,
1081,A1,2.313666667,Healthy,2e+06,
1082,A2,1.722666667,Healthy,1e+06,
1083,A3,0.784666667,Healthy,5e+05,
1084,A4,0.408666667,Healthy,250000,
1085,A5,0.167666667,Healthy,125000,
1086,A6,0.070666667,Healthy,62500,
1087,A7,0.040666667,Healthy,31250,
1088,A8,-0.021333333,Healthy,15625,
1089,A9,-0.013333333,Healthy,7812.5,
1090,A10,-0.010333333,Healthy,3906.25,
1091,B1,2.158666667,Healthy,2e+06,
1092,B2,1.727666667,Healthy,1e+06,
1093,B3,1.177666667,Healthy,5e+05,
1094,B4,0.594666667,Healthy,250000,
1095,B5,0.251666667,Healthy,125000,
1096,B6,0.038666667,Healthy,62500,
1097,B7,0.034666667,Healthy,31250,
1098,B8,-0.042333333,Healthy,15625,
1099,B9,-0.014333333,Healthy,7812.5,
1100,B10,-0.013333333,Healthy,3906.25,
1101,C1,1.999666667,Healthy,2e+06,
1102,C2,2.502666667,Healthy,1e+06,
1103,C3,2.606666667,Healthy,5e+05,
1104,C4,1.850666667,Healthy,250000,
1105,C5,1.429666667,Healthy,125000,
1106,C6,0.436666667,Healthy,62500,
1107,C7,0.237666667,Healthy,31250,
1108,C8,0.078666667,Healthy,15625,
1109,C9,0.243666667,Healthy,7812.5,
1110,C10,-0.001333333,Healthy,3906.25,
1111,D1,1.088666667,Diseased,2e+06,
1112,D2,0.710666667,Diseased,1e+06,
1113,D3,0.458666667,Diseased,5e+05,
1114,D4,0.137666667,Diseased,250000,
1115,D5,0.107666667,Diseased,125000,
1116,D6,-0.018333333,Diseased,62500,
1117,D7,-0.032333333,Diseased,31250,
1118,D8,-0.102333333,Diseased,15625,
1119,D9,-0.098333333,Diseased,7812.5,
1120,D10,-0.090333333,Diseased,3906.25,
1121,E1,0.497666667,Diseased,2e+06,
1122,E2,0.058666667,Diseased,1e+06,
1123,E3,0.056666667,Diseased,5e+05,
1124,E4,-0.022333333,Diseased,250000,
1125,E5,-0.077333333,Diseased,125000,
1126,E6,-0.058333333,Diseased,62500,
1127,E7,-0.068333333,Diseased,31250,
1128,E8,-0.092333333,Diseased,15625,
1129,E9,-0.098333333,Diseased,7812.5,
1130,E10,-0.097333333,Diseased,3906.25,
1131,F1,0.620666667,Diseased,2e+06,
1132,F2,0.348666667,Diseased,1e+06,
1133,F3,0.064666667,Diseased,5e+05,
1134,F4,-0.025333333,Diseased,250000,
1135,F5,-0.012333333,Diseased,125000,
1136,F6,-0.061333333,Diseased,62500,
1137,F7,-0.069333333,Diseased,31250,
1138,F8,-0.110333333,Diseased,15625,
1139,F9,-0.083333333,Diseased,7812.5,
1140,F10,-0.077333333,Diseased,3906.25,
1141,A1,0.435833333,Healthy,2e+06,
1142,A2,0.142833333,Healthy,1e+06,
1143,A3,0.143833333,Healthy,5e+05,
1144,A4,-0.011166667,Healthy,250000,
1145,A5,0.030833333,Healthy,125000,
1146,A6,0.001833333,Healthy,62500,
1147,A7,0.044833333,Healthy,31250,
1148,A8,-0.005166667,Healthy,15625,
1149,A9,-0.017166667,Healthy,7812.5,
1150,A10,-0.015166667,Healthy,3906.25,
1151,B1,0.017833333,Healthy,2e+06,
1152,B2,0.026833333,Healthy,1e+06,
1153,B3,0.035833333,Healthy,5e+05,
1154,B4,-0.045166667,Healthy,250000,
1155,B5,0.000833333,Healthy,125000,
1156,B6,-0.015166667,Healthy,62500,
1157,B7,0.035833333,Healthy,31250,
1158,B8,-0.022166667,Healthy,15625,
1159,B9,-0.027166667,Healthy,7812.5,
1160,B10,-0.020166667,Healthy,3906.25,
1161,C1,1.687833333,Healthy,2e+06,
1162,C2,0.880833333,Healthy,1e+06,
1163,C3,0.552833333,Healthy,5e+05,
1164,C4,0.128833333,Healthy,250000,
1165,C5,0.186833333,Healthy,125000,
1166,C6,0.102833333,Healthy,62500,
1167,C7,0.082833333,Healthy,31250,
1168,C8,0.001833333,Healthy,15625,
1169,C9,-0.017166667,Healthy,7812.5,
1170,C10,-0.024166667,Healthy,3906.25,
1171,D1,-0.069166667,Diseased,2e+06,
1172,D2,-0.071166667,Diseased,1e+06,
1173,D3,-0.072166667,Diseased,5e+05,
1174,D4,-0.109166667,Diseased,250000,
1175,D5,-0.078166667,Diseased,125000,
1176,D6,-0.084166667,Diseased,62500,
1177,D7,-0.060166667,Diseased,31250,
1178,D8,-0.077166667,Diseased,15625,
1179,D9,-0.094166667,Diseased,7812.5,
1180,D10,-0.097166667,Diseased,3906.25,
1181,E1,-0.085166667,Diseased,2e+06,
1182,E2,-0.052166667,Diseased,1e+06,
1183,E3,-0.080166667,Diseased,5e+05,
1184,E4,-0.102166667,Diseased,250000,
1185,E5,-0.076166667,Diseased,125000,
1186,E6,-0.096166667,Diseased,62500,
1187,E7,-0.052166667,Diseased,31250,
1188,E8,-0.084166667,Diseased,15625,
1189,E9,-0.092166667,Diseased,7812.5,
1190,E10,-0.102166667,Diseased,3906.25,
1191,F1,0.017833333,Diseased,2e+06,
1192,F2,-0.004166667,Diseased,1e+06,
1193,F3,-0.016166667,Diseased,5e+05,
1194,F4,-0.114166667,Diseased,250000,
1195,F5,-0.085166667,Diseased,125000,
1196,F6,-0.088166667,Diseased,62500,
1197,F7,-0.043166667,Diseased,31250,
1198,F8,-0.094166667,Diseased,15625,
1199,F9,-0.084166667,Diseased,7812.5,
1200,F10,-0.090166667,Diseased,3906.25,
1201,A1,3.022,Healthy,2e+06,
1202,A2,0.484,Healthy,1e+06,
1203,A3,0.657,Healthy,5e+05,
1204,A4,0.43,Healthy,250000,
1205,A5,0.367,Healthy,125000,
1206,A6,0.113,Healthy,62500,
1207,A7,0.014,Healthy,31250,
1208,A8,0.041,Healthy,15625,
1209,A9,-0.018,Healthy,7812.5,
1210,A10,-0.026,Healthy,3906.25,
1211,B1,1.095,Healthy,2e+06,
1212,B2,0.823,Healthy,1e+06,
1213,B3,0.115,Healthy,5e+05,
1214,B4,0.103,Healthy,250000,
1215,B5,0.049,Healthy,125000,
1216,B6,0.032,Healthy,62500,
1217,B7,0.027,Healthy,31250,
1218,B8,-0.002,Healthy,15625,
1219,B9,-0.011,Healthy,7812.5,
1220,B10,-0.037,Healthy,3906.25,
1221,C1,0.999,Healthy,2e+06,
1222,C2,1.019,Healthy,1e+06,
1223,C3,0.553,Healthy,5e+05,
1224,C4,0.313,Healthy,250000,
1225,C5,0.152,Healthy,125000,
1226,C6,0.023,Healthy,62500,
1227,C7,0.039,Healthy,31250,
1228,C8,0.018,Healthy,15625,
1229,C9,-0.015,Healthy,7812.5,
1230,C10,-0.037,Healthy,3906.25,
1231,D1,0.421,Diseased,2e+06,
1232,D2,0.816,Diseased,1e+06,
1233,D3,0.169,Diseased,5e+05,
1234,D4,0.265,Diseased,250000,
1235,D5,0.096,Diseased,125000,
1236,D6,0.018,Diseased,62500,
1237,D7,-0.066,Diseased,31250,
1238,D8,-0.085,Diseased,15625,
1239,D9,-0.101,Diseased,7812.5,
1240,D10,-0.098,Diseased,3906.25,
1241,E1,0.782,Diseased,2e+06,
1242,E2,0.16,Diseased,1e+06,
1243,E3,0.426,Diseased,5e+05,
1244,E4,0.338,Diseased,250000,
1245,E5,0.119,Diseased,125000,
1246,E6,0.022,Diseased,62500,
1247,E7,0.019,Diseased,31250,
1248,E8,-0.081,Diseased,15625,
1249,E9,-0.082,Diseased,7812.5,
1250,E10,-0.089,Diseased,3906.25,
1251,F1,0.394,Diseased,2e+06,
1252,F2,0.166,Diseased,1e+06,
1253,F3,0.265,Diseased,5e+05,
1254,F4,0.14,Diseased,250000,
1255,F5,0.031,Diseased,125000,
1256,F6,-0.009,Diseased,62500,
1257,F7,-0.065,Diseased,31250,
1258,F8,-0.072,Diseased,15625,
1259,F9,-0.054,Diseased,7812.5,
1260,F10,-0.113,Diseased,3906.25,
1261,A1,-0.025416667,Healthy,2e+06,
1262,A2,0.005583333,Healthy,1e+06,
1263,A3,-0.016416667,Healthy,5e+05,
1264,A4,-0.022416667,Healthy,250000,
1265,A5,0.003583333,Healthy,125000,
1266,A6,-0.002416667,Healthy,62500,
1267,A7,0.040583333,Healthy,31250,
1268,A8,0.007583333,Healthy,15625,
1269,A9,-0.005416667,Healthy,7812.5,
1270,A10,-0.009416667,Healthy,3906.25,
1271,B1,0.043583333,Healthy,2e+06,
1272,B2,0.013583333,Healthy,1e+06,
1273,B3,-0.015416667,Healthy,5e+05,
1274,B4,-0.007416667,Healthy,250000,
1275,B5,-0.015416667,Healthy,125000,
1276,B6,-0.019416667,Healthy,62500,
1277,B7,0.002583333,Healthy,31250,
1278,B8,-0.001416667,Healthy,15625,
1279,B9,-0.023416667,Healthy,7812.5,
1280,B10,-0.017416667,Healthy,3906.25,
1281,C1,0.472583333,Healthy,2e+06,
1282,C2,0.191583333,Healthy,1e+06,
1283,C3,0.079583333,Healthy,5e+05,
1284,C4,0.082583333,Healthy,250000,
1285,C5,0.009583333,Healthy,125000,
1286,C6,0.002583333,Healthy,62500,
1287,C7,0.012583333,Healthy,31250,
1288,C8,-0.003416667,Healthy,15625,
1289,C9,-0.017416667,Healthy,7812.5,
1290,C10,-0.022416667,Healthy,3906.25,
1291,D1,-0.144416667,Diseased,2e+06,
1292,D2,-0.078416667,Diseased,1e+06,
1293,D3,-0.089416667,Diseased,5e+05,
1294,D4,-0.094416667,Diseased,250000,
1295,D5,-0.081416667,Diseased,125000,
1296,D6,-0.099416667,Diseased,62500,
1297,D7,-0.083416667,Diseased,31250,
1298,D8,-0.090416667,Diseased,15625,
1299,D9,-0.089416667,Diseased,7812.5,
1300,D10,-0.097416667,Diseased,3906.25,
1301,E1,0.374583333,Diseased,2e+06,
1302,E2,0.340583333,Diseased,1e+06,
1303,E3,0.136583333,Diseased,5e+05,
1304,E4,-0.026416667,Diseased,250000,
1305,E5,-0.028416667,Diseased,125000,
1306,E6,-0.081416667,Diseased,62500,
1307,E7,-0.091416667,Diseased,31250,
1308,E8,-0.078416667,Diseased,15625,
1309,E9,-0.098416667,Diseased,7812.5,
1310,E10,-0.090416667,Diseased,3906.25,
1311,F1,0.390583333,Diseased,2e+06,
1312,F2,0.239583333,Diseased,1e+06,
1313,F3,0.160583333,Diseased,5e+05,
1314,F4,0.027583333,Diseased,250000,
1315,F5,-0.020416667,Diseased,125000,
1316,F6,-0.049416667,Diseased,62500,
1317,F7,-0.059416667,Diseased,31250,
1318,F8,-0.079416667,Diseased,15625,
1319,F9,-0.078416667,Diseased,7812.5,
1320,F10,-0.084416667,Diseased,3906.25,
1321,A1,0.127583333,Healthy,2e+06,
1322,A2,0.049583333,Healthy,1e+06,
1323,A3,0.050583333,Healthy,5e+05,
1324,A4,0.043583333,Healthy,250000,
1325,A5,0.027583333,Healthy,125000,
1326,A6,0.032583333,Healthy,62500,
1327,A7,0.021583333,Healthy,31250,
1328,A8,0.001583333,Healthy,15625,
1329,A9,0.008583333,Healthy,7812.5,
1330,A10,-0.013416667,Healthy,3906.25,
1331,B1,0.182583333,Healthy,2e+06,
1332,B2,0.122583333,Healthy,1e+06,
1333,B3,0.088583333,Healthy,5e+05,
1334,B4,0.105583333,Healthy,250000,
1335,B5,0.040583333,Healthy,125000,
1336,B6,0.053583333,Healthy,62500,
1337,B7,0.056583333,Healthy,31250,
1338,B8,0.032583333,Healthy,15625,
1339,B9,0.038583333,Healthy,7812.5,
1340,B10,-0.010416667,Healthy,3906.25,
1341,C1,1.120583333,Healthy,2e+06,
1342,C2,0.441583333,Healthy,1e+06,
1343,C3,0.395583333,Healthy,5e+05,
1344,C4,0.302583333,Healthy,250000,
1345,C5,0.121583333,Healthy,125000,
1346,C6,0.125583333,Healthy,62500,
1347,C7,0.100583333,Healthy,31250,
1348,C8,0.022583333,Healthy,15625,
1349,C9,0.026583333,Healthy,7812.5,
1350,C10,-0.015416667,Healthy,3906.25,
1351,D1,-0.017416667,Diseased,2e+06,
1352,D2,-0.012416667,Diseased,1e+06,
1353,D3,-0.019416667,Diseased,5e+05,
1354,D4,-0.007416667,Diseased,250000,
1355,D5,-0.042416667,Diseased,125000,
1356,D6,-0.024416667,Diseased,62500,
1357,D7,-0.042416667,Diseased,31250,
1358,D8,-0.062416667,Diseased,15625,
1359,D9,-0.037416667,Diseased,7812.5,
1360,D10,-0.065416667,Diseased,3906.25,
1361,E1,0.005583333,Diseased,2e+06,
1362,E2,-0.011416667,Diseased,1e+06,
1363,E3,0.001583333,Diseased,5e+05,
1364,E4,-0.038416667,Diseased,250000,
1365,E5,-0.046416667,Diseased,125000,
1366,E6,-0.015416667,Diseased,62500,
1367,E7,-0.038416667,Diseased,31250,
1368,E8,-0.038416667,Diseased,15625,
1369,E9,-0.039416667,Diseased,7812.5,
1370,E10,-0.077416667,Diseased,3906.25,
1371,F1,0.455583333,Diseased,2e+06,
1372,F2,0.254583333,Diseased,1e+06,
1373,F3,0.169583333,Diseased,5e+05,
1374,F4,0.056583333,Diseased,250000,
1375,F5,-0.014416667,Diseased,125000,
1376,F6,-0.011416667,Diseased,62500,
1377,F7,-0.022416667,Diseased,31250,
1378,F8,-0.043416667,Diseased,15625,
1379,F9,-0.033416667,Diseased,7812.5,
1380,F10,-0.104416667,Diseased,3906.25,
1381,A1,1.573083333,Healthy,2e+06,
1382,A2,1.562083333,Healthy,1e+06,
1383,A3,0.758083333,Healthy,5e+05,
1384,A4,0.401083333,Healthy,250000,
1385,A5,0.162083333,Healthy,125000,
1386,A6,0.070083333,Healthy,62500,
1387,A7,0.028083333,Healthy,31250,
1388,A8,-0.000916667,Healthy,15625,
1389,A9,-0.018916667,Healthy,7812.5,
1390,A10,-0.015916667,Healthy,3906.25,
1391,B1,1.581083333,Healthy,2e+06,
1392,B2,1.434083333,Healthy,1e+06,
1393,B3,1.087083333,Healthy,5e+05,
1394,B4,0.543083333,Healthy,250000,
1395,B5,0.195083333,Healthy,125000,
1396,B6,0.074083333,Healthy,62500,
1397,B7,0.032083333,Healthy,31250,
1398,B8,0.003083333,Healthy,15625,
1399,B9,-0.011916667,Healthy,7812.5,
1400,B10,-0.012916667,Healthy,3906.25,
1401,C1,1.554083333,Healthy,2e+06,
1402,C2,1.709083333,Healthy,1e+06,
1403,C3,1.125083333,Healthy,5e+05,
1404,C4,0.734083333,Healthy,250000,
1405,C5,0.200083333,Healthy,125000,
1406,C6,0.084083333,Healthy,62500,
1407,C7,0.056083333,Healthy,31250,
1408,C8,0.022083333,Healthy,15625,
1409,C9,-0.009916667,Healthy,7812.5,
1410,C10,-0.015916667,Healthy,3906.25,
1411,D1,0.405083333,Diseased,2e+06,
1412,D2,0.684083333,Diseased,1e+06,
1413,D3,0.263083333,Diseased,5e+05,
1414,D4,0.222083333,Diseased,250000,
1415,D5,0.041083333,Diseased,125000,
1416,D6,-0.068916667,Diseased,62500,
1417,D7,-0.063916667,Diseased,31250,
1418,D8,-0.093916667,Diseased,15625,
1419,D9,-0.080916667,Diseased,7812.5,
1420,D10,-0.098916667,Diseased,3906.25,
1421,E1,0.393083333,Diseased,2e+06,
1422,E2,0.182083333,Diseased,1e+06,
1423,E3,0.093083333,Diseased,5e+05,
1424,E4,0.037083333,Diseased,250000,
1425,E5,-0.006916667,Diseased,125000,
1426,E6,-0.065916667,Diseased,62500,
1427,E7,-0.091916667,Diseased,31250,
1428,E8,-0.088916667,Diseased,15625,
1429,E9,-0.102916667,Diseased,7812.5,
1430,E10,-0.098916667,Diseased,3906.25,
1431,F1,-0.102916667,Diseased,2e+06,
1432,F2,-0.079916667,Diseased,1e+06,
1433,F3,-0.097916667,Diseased,5e+05,
1434,F4,-0.095916667,Diseased,250000,
1435,F5,-0.098916667,Diseased,125000,
1436,F6,-0.099916667,Diseased,62500,
1437,F7,-0.089916667,Diseased,31250,
1438,F8,-0.090916667,Diseased,15625,
1439,F9,-0.096916667,Diseased,7812.5,
1440,F10,-0.112916667,Diseased,3906.25,
1441,A1,0.055416667,Healthy,2e+06,
1442,A2,0.037416667,Healthy,1e+06,
1443,A3,0.037416667,Healthy,5e+05,
1444,A4,0.023416667,Healthy,250000,
1445,A5,-0.002583333,Healthy,125000,
1446,A6,0.011416667,Healthy,62500,
1447,A7,-0.008583333,Healthy,31250,
1448,A8,-0.012583333,Healthy,15625,
1449,A9,-0.005583333,Healthy,7812.5,
1450,A10,-0.015583333,Healthy,3906.25,
1451,B1,0.880416667,Healthy,2e+06,
1452,B2,0.398416667,Healthy,1e+06,
1453,B3,0.196416667,Healthy,5e+05,
1454,B4,0.098416667,Healthy,250000,
1455,B5,0.018416667,Healthy,125000,
1456,B6,0.003416667,Healthy,62500,
1457,B7,-0.013583333,Healthy,31250,
1458,B8,-0.009583333,Healthy,15625,
1459,B9,-0.029583333,Healthy,7812.5,
1460,B10,0.492416667,Healthy,3906.25,
1461,C1,0.731416667,Healthy,2e+06,
1462,C2,0.353416667,Healthy,1e+06,
1463,C3,0.176416667,Healthy,5e+05,
1464,C4,0.135416667,Healthy,250000,
1465,C5,0.055416667,Healthy,125000,
1466,C6,0.003416667,Healthy,62500,
1467,C7,-0.008583333,Healthy,31250,
1468,C8,-0.016583333,Healthy,15625,
1469,C9,-0.026583333,Healthy,7812.5,
1470,C10,-0.007583333,Healthy,3906.25,
1471,D1,0.611416667,Diseased,2e+06,
1472,D2,0.326416667,Diseased,1e+06,
1473,D3,0.113416667,Diseased,5e+05,
1474,D4,0.026416667,Diseased,250000,
1475,D5,-0.013583333,Diseased,125000,
1476,D6,-0.068583333,Diseased,62500,
1477,D7,-0.081583333,Diseased,31250,
1478,D8,-0.072583333,Diseased,15625,
1479,D9,-0.092583333,Diseased,7812.5,
1480,D10,-0.081583333,Diseased,3906.25,
1481,E1,0.791416667,Diseased,2e+06,
1482,E2,0.271416667,Diseased,1e+06,
1483,E3,0.095416667,Diseased,5e+05,
1484,E4,0.010416667,Diseased,250000,
1485,E5,-0.045583333,Diseased,125000,
1486,E6,-0.052583333,Diseased,62500,
1487,E7,-0.057583333,Diseased,31250,
1488,E8,-0.092583333,Diseased,15625,
1489,E9,-0.095583333,Diseased,7812.5,
1490,E10,-0.096583333,Diseased,3906.25,
1491,F1,0.766416667,Diseased,2e+06,
1492,F2,0.355416667,Diseased,1e+06,
1493,F3,0.172416667,Diseased,5e+05,
1494,F4,0.095416667,Diseased,250000,
1495,F5,0.008416667,Diseased,125000,
1496,F6,-0.060583333,Diseased,62500,
1497,F7,-0.070583333,Diseased,31250,
1498,F8,-0.065583333,Diseased,15625,
1499,F9,-0.090583333,Diseased,7812.5,
1500,F10,-0.070583333,Diseased,3906.25,
1501,A1,0.108166667,Healthy,2e+06,
1502,A2,0.016166667,Healthy,1e+06,
1503,A3,0.083166667,Healthy,5e+05,
1504,A4,0.017166667,Healthy,250000,
1505,A5,0.001166667,Healthy,125000,
1506,A6,0.005166667,Healthy,62500,
1507,A7,-0.032833333,Healthy,31250,
1508,A8,-0.023833333,Healthy,15625,
1509,A9,-0.032833333,Healthy,7812.5,
1510,A10,-0.018833333,Healthy,3906.25,
1511,B1,0.685166667,Healthy,2e+06,
1512,B2,0.243166667,Healthy,1e+06,
1513,B3,0.910166667,Healthy,5e+05,
1514,B4,0.136166667,Healthy,250000,
1515,B5,0.015166667,Healthy,125000,
1516,B6,0.001166667,Healthy,62500,
1517,B7,-0.017833333,Healthy,31250,
1518,B8,-0.048833333,Healthy,15625,
1519,B9,-0.024833333,Healthy,7812.5,
1520,B10,-0.030833333,Healthy,3906.25,
1521,C1,1.901166667,Healthy,2e+06,
1522,C2,1.153166667,Healthy,1e+06,
1523,C3,0.414166667,Healthy,5e+05,
1524,C4,0.246166667,Healthy,250000,
1525,C5,0.126166667,Healthy,125000,
1526,C6,0.091166667,Healthy,62500,
1527,C7,0.008166667,Healthy,31250,
1528,C8,-0.026833333,Healthy,15625,
1529,C9,-0.022833333,Healthy,7812.5,
1530,C10,-0.033833333,Healthy,3906.25,
1531,D1,0.317166667,Diseased,2e+06,
1532,D2,-0.011833333,Diseased,1e+06,
1533,D3,0.069166667,Diseased,5e+05,
1534,D4,-0.001833333,Diseased,250000,
1535,D5,-0.050833333,Diseased,125000,
1536,D6,-0.080833333,Diseased,62500,
1537,D7,-0.097833333,Diseased,31250,
1538,D8,-0.114833333,Diseased,15625,
1539,D9,-0.098833333,Diseased,7812.5,
1540,D10,-0.096833333,Diseased,3906.25,
1541,E1,0.505166667,Diseased,2e+06,
1542,E2,0.163166667,Diseased,1e+06,
1543,E3,0.100166667,Diseased,5e+05,
1544,E4,0.015166667,Diseased,250000,
1545,E5,-0.027833333,Diseased,125000,
1546,E6,-0.042833333,Diseased,62500,
1547,E7,-0.090833333,Diseased,31250,
1548,E8,-0.097833333,Diseased,15625,
1549,E9,-0.102833333,Diseased,7812.5,
1550,E10,-0.112833333,Diseased,3906.25,
1551,F1,0.637166667,Diseased,2e+06,
1552,F2,0.465166667,Diseased,1e+06,
1553,F3,0.222166667,Diseased,5e+05,
1554,F4,0.065166667,Diseased,250000,
1555,F5,-0.035833333,Diseased,125000,
1556,F6,-0.043833333,Diseased,62500,
1557,F7,-0.085833333,Diseased,31250,
1558,F8,-0.112833333,Diseased,15625,
1559,F9,-0.093833333,Diseased,7812.5,
1560,F10,-0.114833333,Diseased,3906.25,
1561,A1,1.8665,Healthy,2e+06,
1562,A2,1.2675,Healthy,1e+06,
1563,A3,1.1575,Healthy,5e+05,
1564,A4,0.4535,Healthy,250000,
1565,A5,0.1825,Healthy,125000,
1566,A6,0.0915,Healthy,62500,
1567,A7,0.0035,Healthy,31250,
1568,A8,-0.0165,Healthy,15625,
1569,A9,-0.0475,Healthy,7812.5,
1570,A10,-0.0365,Healthy,3906.25,
