,Well,Absorbance,Cell_Type,Dilution,GROUP ID
464,E4,-0.042916667,Diseased,250000,
465,E5,-0.056916667,Diseased,125000,
466,E6,-0.069916667,Diseased,62500,
467,E7,-0.072916667,Diseased,31250,
468,E8,-0.077916667,Diseased,15625,
469,E9,-0.055916667,Diseased,7812.5,
470,E10,-0.072916667,Diseased,3906.25,
471,F1,0.532083333,Diseased,2e+06,
472,F2,0.301083333,Diseased,1e+06,
473,F3,0.127083333,Diseased,5e+05,
474,F4,0.006083333,Diseased,250000,
475,F5,0.018083333,Diseased,125000,
476,F6,-0.046916667,Diseased,62500,
477,F7,-0.064916667,Diseased,31250,
478,F8,-0.069916667,Diseased,15625,
479,F9,-0.066916667,Diseased,7812.5,
480,F10,-0.063916667,Diseased,3906.25,
481,A1,0.067833333,Healthy,2e+06,
482,A2,-0.016166667,Healthy,1e+06,
483,A3,0.015833333,Healthy,5e+05,
484,A4,0.010833333,Healthy,250000,
485,A5,0.010833333,Healthy,125000,
486,A6,-0.009166667,Healthy,62500,
487,A7,-0.012166667,Healthy,31250,
488,A8,-0.018166667,Healthy,15625,
489,A9,-0.015166667,Healthy,7812.5,
490,A10,-0.014166667,Healthy,3906.25,
491,B1,0.375833333,Healthy,2e+06,
492,B2,0.034833333,Healthy,1e+06,
493,B3,0.045833333,Healthy,5e+05,
494,B4,0.025833333,Healthy,250000,
495,B5,0.011833333,Healthy,125000,
496,B6,-0.010166667,Healthy,62500,
497,B7,-0.018166667,Healthy,31250,
498,B8,-0.026166667,Healthy,15625,
499,B9,-0.017166667,Healthy,7812.5,
500,B10,-0.020166667,Healthy,3906.25,
501,C1,2.153833333,Healthy,2e+06,
502,C2,0.343833333,Healthy,1e+06,
503,C3,0.287833333,Healthy,5e+05,
504,C4,0.098833333,Healthy,250000,
505,C5,0.026833333,Healthy,125000,
506,C6,0.009833333,Healthy,62500,
507,C7,-0.010166667,Healthy,31250,
508,C8,-0.015166667,Healthy,15625,
509,C9,-0.019166667,Healthy,7812.5,
510,C10,-0.026166667,Healthy,3906.25,
511,D1,0.591833333,Diseased,2e+06,
512,D2,-0.000166667,Diseased,1e+06,
513,D3,0.011833333,Diseased,5e+05,
514,D4,-0.086166667,Diseased,250000,
515,D5,-0.085166667,Diseased,125000,
516,D6,-0.094166667,Diseased,62500,
517,D7,-0.097166667,Diseased,31250,
518,D8,-0.091166667,Diseased,15625,
519,D9,-0.096166667,Diseased,7812.5,
